Coordinates,Traffic,Passenger Frequency,Landmark Proximity
"[16.43619, 120.59547]",0.72,1.12,True
"[16.43585, 120.59553]",0.97,4.37,True
"[16.43558, 120.5956]",0.96,2.9,True
"[16.4354, 120.59567]",0.66,1.62,True
"[16.4353, 120.5957]",0.96,3.09,False
"[16.43519, 120.59574]",0.66,1.28,True
"[16.43504, 120.59581]",0.86,4.89,True
"[16.43496, 120.59588]",0.9,4.09,True
"[16.43492, 120.59592]",0.92,3.31,True
"[16.43484, 120.59603]",0.96,1.87,False
"[16.43475, 120.59618]",0.83,3.84,True
"[16.4347, 120.59627]",0.94,3.41,True
"[16.43463, 120.59636]",0.89,3.74,False
"[16.4345, 120.59647]",0.8,2.16,True
"[16.43435, 120.5966]",0.63,2.84,True
"[16.43428, 120.59665]",0.76,1.95,False
"[16.43426, 120.59666]",0.92,2.29,False
"[16.43417, 120.59671]",0.98,4.05,False
"[16.4339, 120.59686]",0.74,4.83,False
"[16.43376, 120.59695]",0.88,2.59,False
"[16.43346, 120.59705]",0.69,2.87,False
"[16.43328, 120.59709]",0.69,1.21,True
"[16.43292, 120.5971]",0.87,2.77,False
"[16.43264, 120.5971]",0.64,2.54,True
"[16.43252, 120.59711]",0.88,3.45,False
"[16.43242, 120.59714]",0.88,1.24,True
"[16.43239, 120.59716]",0.6,4.57,True
"[16.43229, 120.5972]",0.94,3.74,True
"[16.43223, 120.59723]",0.9,2.16,True
"[16.43206, 120.59731]",0.64,1.43,True
"[16.43177, 120.59746]",0.64,1.69,True
"[16.43175, 120.59747]",0.75,4.92,True
"[16.43168, 120.59749]",0.7,3.51,True
"[16.43165, 120.59749]",0.84,2.15,False
"[16.43159, 120.59749]",0.92,4.06,False
"[16.43154, 120.59747]",0.84,2.94,False
"[16.4315, 120.59745]",0.73,3.78,False
"[16.43143, 120.5974]",0.93,1.18,True
"[16.43136, 120.59733]",0.98,4.14,False
"[16.43134, 120.59732]",0.64,2.29,True
"[16.43122, 120.59721]",0.67,2.94,False
"[16.43108, 120.59709]",0.78,1.52,True
"[16.43095, 120.59697]",0.65,3.89,False
"[16.43086, 120.59689]",0.86,4.15,False
"[16.43081, 120.59684]",0.73,1.81,True
"[16.43067, 120.59672]",0.84,4.69,True
"[16.43054, 120.5966]",0.6,4.61,False
"[16.4304, 120.59648]",0.61,3.47,False
"[16.43026, 120.59636]",0.95,4.14,False
"[16.43023, 120.59634]",0.64,3.72,False
"[16.43008, 120.5962]",0.67,3.36,False
"[16.42991, 120.59601]",0.95,2.53,False
"[16.42978, 120.59587]",0.74,1.09,True
"[16.42966, 120.59573]",0.88,3.27,False
"[16.42955, 120.59561]",0.88,4.83,True
"[16.42953, 120.5956]",0.87,3.39,False
"[16.42942, 120.59545]",0.81,4.63,False
"[16.42931, 120.59531]",0.81,4.02,True
"[16.42919, 120.59516]",0.88,4.98,False
"[16.42908, 120.59502]",0.79,2.11,True
"[16.42897, 120.59487]",0.7,4.84,False
"[16.42896, 120.59486]",0.81,2.47,True
"[16.42886, 120.59472]",0.74,3.79,True
"[16.42876, 120.59456]",0.98,3.2,False
"[16.42865, 120.59441]",0.78,1.21,False
"[16.42856, 120.59428]",0.94,1.41,True
"[16.42855, 120.59426]",0.73,2.44,True
"[16.42847, 120.59418]",0.98,1.3,False
"[16.42842, 120.59415]",0.64,4.27,False
"[16.42841, 120.59414]",0.99,4.81,True
"[16.42835, 120.59411]",0.93,1.89,True
"[16.42828, 120.5941]",0.91,1.32,True
"[16.42825, 120.59409]",0.89,2.87,True
"[16.42824, 120.59409]",0.97,1.56,False
"[16.42806, 120.5941]",0.7,3.85,True
"[16.42793, 120.59411]",0.62,1.47,False
"[16.42757, 120.59412]",0.97,4.69,True
"[16.42739, 120.59413]",0.67,1.74,True
"[16.42729, 120.5941]",0.92,2.22,True
"[16.42706, 120.59412]",0.82,3.96,True
"[16.427, 120.59412]",0.86,2.39,True
"[16.42687, 120.59412]",0.99,4.01,False
"[16.42675, 120.59411]",0.73,2.47,True
"[16.42659, 120.59409]",0.98,3.34,False
"[16.42647, 120.59408]",0.77,3.48,False
"[16.42641, 120.59407]",0.91,3.28,True
"[16.42635, 120.59406]",0.87,4.01,True
"[16.42627, 120.59404]",0.96,3.47,True
"[16.42623, 120.59403]",0.65,1.37,True
"[16.42621, 120.59403]",0.78,4.72,True
"[16.42613, 120.59399]",0.79,3.59,True
"[16.42608, 120.59396]",0.65,4.26,False
"[16.42607, 120.59396]",0.68,4.0,True
"[16.42602, 120.59392]",0.66,1.87,True
"[16.42592, 120.59384]",0.9,4.01,True
"[16.42586, 120.59378]",0.99,2.99,True
"[16.42581, 120.59371]",0.68,1.95,False
"[16.42573, 120.5936]",0.73,4.55,False
"[16.42563, 120.59345]",1.0,4.31,True
"[16.42554, 120.5933]",0.89,2.34,False
"[16.42547, 120.5932]",0.83,1.34,True
"[16.42542, 120.59314]",0.71,2.47,False
"[16.42539, 120.5931]",0.88,2.52,True
"[16.42536, 120.59306]",0.99,4.16,False
"[16.42535, 120.59305]",0.6,3.51,False
"[16.42523, 120.59292]",0.75,4.75,False
"[16.42511, 120.59278]",0.62,2.87,False
"[16.42499, 120.59265]",0.81,3.13,True
"[16.42493, 120.59259]",0.84,4.74,False
"[16.42486, 120.59252]",0.95,2.98,False
"[16.42463, 120.59226]",0.88,4.4,False
"[16.4246, 120.59222]",0.71,2.73,False
"[16.42454, 120.59216]",0.73,4.73,True
"[16.4245, 120.59225]",0.73,1.22,False
"[16.42449, 120.59228]",0.68,2.14,True
"[16.42448, 120.59231]",0.82,4.12,True
"[16.42447, 120.59233]",0.82,1.5,True
"[16.42446, 120.59235]",0.99,4.65,True
"[16.42445, 120.59237]",0.73,2.62,False
"[16.42444, 120.59237]",0.72,4.36,True
"[16.42443, 120.59239]",0.67,3.18,True
"[16.4244, 120.5924]",0.95,2.49,True
"[16.42437, 120.59241]",0.89,3.7,False
"[16.42436, 120.59242]",0.81,1.25,True
"[16.42431, 120.59243]",0.66,4.9,True
"[16.42422, 120.59247]",0.99,3.64,False
"[16.42407, 120.59256]",0.86,3.34,True
"[16.4238, 120.5928]",0.8,3.56,True
"[16.42372, 120.59289]",0.9,2.64,False
"[16.42365, 120.59299]",0.99,1.64,True
"[16.42361, 120.59305]",0.76,4.11,False
"[16.42353, 120.59314]",0.68,3.35,True
"[16.42337, 120.5933]",0.83,1.07,False
"[16.42333, 120.59333]",0.83,2.33,True
"[16.4233, 120.59334]",0.9,4.75,True
"[16.42326, 120.59336]",0.62,1.72,False
"[16.42321, 120.59336]",0.76,2.47,False
"[16.42311, 120.59336]",0.93,3.77,False
"[16.42283, 120.5933]",0.66,1.59,False
"[16.42268, 120.59327]",0.89,2.94,False
"[16.42245, 120.59324]",0.7,4.66,True
"[16.42214, 120.59324]",0.61,3.36,False
"[16.42191, 120.59325]",0.73,1.86,False
"[16.42159, 120.59327]",0.75,2.38,False
"[16.42146, 120.59327]",0.96,1.06,False
"[16.42135, 120.59327]",0.86,1.92,True
"[16.42124, 120.59326]",0.6,2.74,False
"[16.42119, 120.59326]",0.99,2.31,True
"[16.42103, 120.59323]",0.89,1.9,True
"[16.42058, 120.59311]",0.61,4.56,False
"[16.42045, 120.59308]",0.99,1.93,False
"[16.4204, 120.59307]",0.62,2.06,True
"[16.42036, 120.59306]",0.68,3.97,True
"[16.42029, 120.59307]",0.68,1.57,False
"[16.42017, 120.59309]",0.77,1.24,False
"[16.42008, 120.59314]",0.84,2.64,True
"[16.42002, 120.59321]",0.73,1.36,True
"[16.41992, 120.59332]",0.62,2.65,True
"[16.41981, 120.5935]",0.64,2.72,False
"[16.41977, 120.59359]",0.76,3.83,True
"[16.41974, 120.59368]",0.82,4.75,True
"[16.41972, 120.59382]",0.63,4.71,True
"[16.41971, 120.59385]",0.69,2.02,False
"[16.41968, 120.59406]",0.63,4.98,False
"[16.41965, 120.59418]",0.64,2.53,True
"[16.41962, 120.59426]",0.64,2.8,True
"[16.41958, 120.59433]",0.72,3.76,False
"[16.41954, 120.59438]",0.89,4.69,True
"[16.41945, 120.5945]",0.72,4.81,False
"[16.41938, 120.59462]",1.0,2.07,True
"[16.41929, 120.59472]",0.78,1.24,True
"[16.41923, 120.59478]",0.6,2.38,True
"[16.41918, 120.5948]",0.9,1.6,False
"[16.41914, 120.59482]",0.89,2.66,False
"[16.4191, 120.59483]",0.97,2.3,False
"[16.41907, 120.59484]",0.72,3.64,False
"[16.41905, 120.59484]",0.9,2.07,False
"[16.41899, 120.59483]",0.93,3.88,False
"[16.41859, 120.59477]",0.8,3.9,False
"[16.41842, 120.59476]",0.87,2.87,True
"[16.41836, 120.59476]",0.81,1.24,True
"[16.41829, 120.59478]",0.85,3.2,False
"[16.41818, 120.5948]",0.65,2.27,True
"[16.41801, 120.59487]",1.0,3.68,True
"[16.41787, 120.59494]",0.65,3.51,True
"[16.41773, 120.59504]",0.72,4.56,False
"[16.41756, 120.59522]",0.66,3.59,True
"[16.41737, 120.59546]",0.65,3.88,False
"[16.41725, 120.5956]",0.73,3.81,True
"[16.41722, 120.59563]",0.61,2.23,True
