Coordinates,Latitude,Longitude
"[16.40774626, 120.60030529]",16.40774626,120.60030529
"[16.40763212, 120.60034373]",16.40763212,120.60034373
"[16.40749217, 120.60039633]",16.40749217,120.60039633
"[16.40739547, 120.60050755]",16.40739547,120.60050755
"[16.4074013, 120.60060243]",16.4074013,120.60060243
"[16.40754033, 120.60063534]",16.40754033,120.60063534
"[16.40758827, 120.60071558]",16.40758827,120.60071558
"[16.40771324, 120.60072481]",16.40771324,120.60072481
"[16.40783284, 120.6007482]",16.40783284,120.6007482
"[16.40796628, 120.60075024]",16.40796628,120.60075024
"[16.40806775, 120.60081866]",16.40806775,120.60081866
"[16.40818328, 120.60090639]",16.40818328,120.60090639
"[16.40829491, 120.60101992]",16.40829491,120.60101992
"[16.4083277, 120.60111093]",16.4083277,120.60111093
"[16.40851232, 120.601303]",16.40851232,120.601303
"[16.4085889, 120.60147716]",16.4085889,120.60147716
"[16.40864819, 120.60160779]",16.40864819,120.60160779
"[16.40871737, 120.6017029]",16.40871737,120.6017029
"[16.40879489, 120.60180118]",16.40879489,120.60180118
"[16.40899286, 120.60200221]",16.40899286,120.60200221
"[16.40907824, 120.60195551]",16.40907824,120.60195551
"[16.40909007, 120.60183858]",16.40909007,120.60183858
"[16.40904921, 120.60169943]",16.40904921,120.60169943
"[16.40897107, 120.60163777]",16.40897107,120.60163777
"[16.40893271, 120.60153683]",16.40893271,120.60153683
"[16.40889527, 120.60140616]",16.40889527,120.60140616
"[16.40885937, 120.60130827]",16.40885937,120.60130827
"[16.40896877, 120.60113993]",16.40896877,120.60113993
"[16.40914825, 120.60109984]",16.40914825,120.60109984
"[16.4093347, 120.60109397]",16.4093347,120.60109397
"[16.40955946, 120.60106703]",16.40955946,120.60106703
"[16.40976967, 120.60094718]",16.40976967,120.60094718
"[16.40990193, 120.60082253]",16.40990193,120.60082253
"[16.41001766, 120.60065348]",16.41001766,120.60065348
"[16.41009817, 120.60044797]",16.41009817,120.60044797
"[16.41018942, 120.60028985]",16.41018942,120.60028985
"[16.41028784, 120.60008001]",16.41028784,120.60008001
"[16.41040773, 120.5999687]",16.41040773,120.5999687
"[16.41053993, 120.59988483]",16.41053993,120.59988483
"[16.41063608, 120.59985285]",16.41063608,120.59985285
"[16.41068089, 120.59976712]",16.41068089,120.59976712
"[16.4107861, 120.59972208]",16.4107861,120.59972208
"[16.41093807, 120.59970651]",16.41093807,120.59970651
"[16.41109154, 120.59969608]",16.41109154,120.59969608
"[16.41126395, 120.59966583]",16.41126395,120.59966583
"[16.41141809, 120.59962009]",16.41141809,120.59962009
"[16.4115719, 120.59957246]",16.4115719,120.59957246
"[16.41170264, 120.59949221]",16.41170264,120.59949221
"[16.41178732, 120.59945747]",16.41178732,120.59945747
"[16.41194714, 120.59940164]",16.41194714,120.59940164
"[16.41209606, 120.59944717]",16.41209606,120.59944717
"[16.41220516, 120.59949304]",16.41220516,120.59949304
"[16.41230591, 120.59958166]",16.41230591,120.59958166
"[16.41240167, 120.59966069]",16.41240167,120.59966069
"[16.41250478, 120.5997143]",16.41250478,120.5997143
"[16.41261561, 120.59971268]",16.41261561,120.59971268
"[16.41280336, 120.5996194]",16.41280336,120.5996194
"[16.41292031, 120.59947913]",16.41292031,120.59947913
"[16.41304829, 120.59933815]",16.41304829,120.59933815
"[16.41330184, 120.59932318]",16.41330184,120.59932318
"[16.41342949, 120.59939968]",16.41342949,120.59939968
"[16.41360653, 120.59951369]",16.41360653,120.59951369
"[16.41373009, 120.5995765]",16.41373009,120.5995765
"[16.41382332, 120.59966812]",16.41382332,120.59966812
"[16.41390557, 120.5997185]",16.41390557,120.5997185
"[16.41410855, 120.59958358]",16.41410855,120.59958358
"[16.41426083, 120.59963798]",16.41426083,120.59963798
"[16.41436883, 120.59960758]",16.41436883,120.59960758
"[16.41463852, 120.59959865]",16.41463852,120.59959865
"[16.41475155, 120.59955282]",16.41475155,120.59955282
"[16.41484486, 120.59941241]",16.41484486,120.59941241
"[16.41495727, 120.59935997]",16.41495727,120.59935997
"[16.41504782, 120.59932517]",16.41504782,120.59932517
"[16.41516287, 120.59930815]",16.41516287,120.59930815
"[16.41534051, 120.59933017]",16.41534051,120.59933017
"[16.41556258, 120.59942857]",16.41556258,120.59942857
"[16.41575943, 120.59951319]",16.41575943,120.59951319
"[16.41591659, 120.59953915]",16.41591659,120.59953915
"[16.41606863, 120.59951654]",16.41606863,120.59951654
"[16.41619748, 120.59941638]",16.41619748,120.59941638
"[16.41632688, 120.59930295]",16.41632688,120.59930295
"[16.41640594, 120.59918099]",16.41640594,120.59918099
"[16.41652662, 120.59910995]",16.41652662,120.59910995
"[16.41666598, 120.5991345]",16.41666598,120.5991345
"[16.41678764, 120.59908171]",16.41678764,120.59908171
"[16.41684878, 120.5989314]",16.41684878,120.5989314
"[16.41689456, 120.59877087]",16.41689456,120.59877087
"[16.41695482, 120.59863157]",16.41695482,120.59863157
"[16.41706629, 120.59860827]",16.41706629,120.59860827
"[16.41729738, 120.59872076]",16.41729738,120.59872076
"[16.41745714, 120.59886067]",16.41745714,120.59886067
"[16.41762103, 120.59890704]",16.41762103,120.59890704
"[16.41780887, 120.5988832]",16.41780887,120.5988832
"[16.41800473, 120.59889699]",16.41800473,120.59889699
"[16.41818476, 120.5988118]",16.41818476,120.5988118
"[16.41838698, 120.59878424]",16.41838698,120.59878424
"[16.41854857, 120.59865857]",16.41854857,120.59865857
"[16.41869788, 120.5985376]",16.41869788,120.5985376
"[16.41884603, 120.59839352]",16.41884603,120.59839352
"[16.4189608, 120.59836947]",16.4189608,120.59836947
"[16.41906386, 120.59832181]",16.41906386,120.59832181
"[16.41912761, 120.59825162]",16.41912761,120.59825162
"[16.4192097, 120.59818087]",16.4192097,120.59818087
"[16.41917751, 120.59829728]",16.41917751,120.59829728
"[16.41913463, 120.59840847]",16.41913463,120.59840847
"[16.41907733, 120.59856876]",16.41907733,120.59856876
"[16.41908934, 120.59868976]",16.41908934,120.59868976
"[16.4191856, 120.59879665]",16.4191856,120.59879665
"[16.41933377, 120.59885823]",16.41933377,120.59885823
"[16.41951845, 120.59889224]",16.41951845,120.59889224
"[16.41967474, 120.59892704]",16.41967474,120.59892704
"[16.41976726, 120.59897896]",16.41976726,120.59897896
"[16.41987048, 120.59899727]",16.41987048,120.59899727
"[16.42001858, 120.59902884]",16.42001858,120.59902884
"[16.42015777, 120.59907266]",16.42015777,120.59907266
"[16.42030931, 120.59914779]",16.42030931,120.59914779
"[16.42040717, 120.5991975]",16.42040717,120.5991975
"[16.42055031, 120.59927961]",16.42055031,120.59927961
"[16.42069148, 120.59939135]",16.42069148,120.59939135
"[16.42083713, 120.59952946]",16.42083713,120.59952946
"[16.42101333, 120.59965887]",16.42101333,120.59965887
"[16.42116678, 120.5997671]",16.42116678,120.5997671
"[16.42131989, 120.59989045]",16.42131989,120.59989045
"[16.42142347, 120.60002444]",16.42142347,120.60002444
"[16.421561, 120.60011518]",16.421561,120.60011518
"[16.42171092, 120.60004515]",16.42171092,120.60004515
"[16.4217789, 120.5999333]",16.4217789,120.5999333
"[16.4219062, 120.59972521]",16.4219062,120.59972521
"[16.42204341, 120.59956605]",16.42204341,120.59956605
"[16.42216108, 120.59942774]",16.42216108,120.59942774
"[16.42228576, 120.59931164]",16.42228576,120.59931164
"[16.42240895, 120.59922938]",16.42240895,120.59922938
"[16.42261951, 120.59916622]",16.42261951,120.59916622
"[16.42280542, 120.59920588]",16.42280542,120.59920588
"[16.42295832, 120.59924893]",16.42295832,120.59924893
"[16.42313243, 120.59929379]",16.42313243,120.59929379
"[16.42327127, 120.59929366]",16.42327127,120.59929366
"[16.42336723, 120.59925582]",16.42336723,120.59925582
"[16.42345799, 120.59923439]",16.42345799,120.59923439
"[16.42355044, 120.59912145]",16.42355044,120.59912145
"[16.42363499, 120.59898939]",16.42363499,120.59898939
"[16.42379262, 120.59883722]",16.42379262,120.59883722
"[16.42392162, 120.59866174]",16.42392162,120.59866174
"[16.42397507, 120.59850783]",16.42397507,120.59850783
"[16.42411135, 120.5983787]",16.42411135,120.5983787
"[16.42425025, 120.59828938]",16.42425025,120.59828938
"[16.42441825, 120.59814146]",16.42441825,120.59814146
"[16.42458929, 120.5979805]",16.42458929,120.5979805
"[16.42474407, 120.59784872]",16.42474407,120.59784872
"[16.42486984, 120.59772061]",16.42486984,120.59772061
"[16.42497916, 120.59758543]",16.42497916,120.59758543
"[16.42504521, 120.59745098]",16.42504521,120.59745098
"[16.42512295, 120.59732923]",16.42512295,120.59732923
"[16.42519676, 120.59709652]",16.42519676,120.59709652
"[16.42526033, 120.5968846]",16.42526033,120.5968846
"[16.42530836, 120.59677044]",16.42530836,120.59677044
"[16.42538046, 120.59659786]",16.42538046,120.59659786
"[16.42544435, 120.59640352]",16.42544435,120.59640352
"[16.42549649, 120.59624066]",16.42549649,120.59624066
"[16.42553463, 120.59612394]",16.42553463,120.59612394
"[16.42552981, 120.59601563]",16.42552981,120.59601563
"[16.42552908, 120.59591337]",16.42552908,120.59591337
"[16.42549152, 120.59575417]",16.42549152,120.59575417
"[16.4254355, 120.59555681]",16.4254355,120.59555681
"[16.42540968, 120.59544936]",16.42540968,120.59544936
"[16.42538592, 120.59532529]",16.42538592,120.59532529
"[16.42535957, 120.59521367]",16.42535957,120.59521367
"[16.4253261, 120.59510387]",16.4253261,120.59510387
"[16.4253095, 120.59499618]",16.4253095,120.59499618
"[16.42528691, 120.59479562]",16.42528691,120.59479562
"[16.42526047, 120.59464753]",16.42526047,120.59464753
"[16.42524169, 120.59454014]",16.42524169,120.59454014
"[16.42525408, 120.59443371]",16.42525408,120.59443371
"[16.42524737, 120.59424632]",16.42524737,120.59424632
"[16.42537437, 120.59411381]",16.42537437,120.59411381
"[16.42547668, 120.59398203]",16.42547668,120.59398203
"[16.42554902, 120.59391939]",16.42554902,120.59391939
"[16.42565078, 120.59389923]",16.42565078,120.59389923
"[16.42568245, 120.59387423]",16.42568245,120.59387423
"[16.42568031, 120.59388138]",16.42568031,120.59388138
"[16.42573031, 120.59378355]",16.42573031,120.59378355
"[16.42573582, 120.5936881]",16.42573582,120.5936881
"[16.42562795, 120.59351182]",16.42562795,120.59351182
"[16.42553999, 120.59337731]",16.42553999,120.59337731
"[16.42542162, 120.59324524]",16.42542162,120.59324524
"[16.42531169, 120.59310807]",16.42531169,120.59310807
"[16.42519612, 120.59296445]",16.42519612,120.59296445
"[16.42506592, 120.59281487]",16.42506592,120.59281487
"[16.4249041, 120.59267114]",16.4249041,120.59267114
"[16.42474904, 120.59253976]",16.42474904,120.59253976
"[16.4246314, 120.5924286]",16.4246314,120.5924286
"[16.42450281, 120.59239071]",16.42450281,120.59239071
"[16.42415608, 120.59254516]",16.42415608,120.59254516
"[16.4239427, 120.59270802]",16.4239427,120.59270802
"[16.42377268, 120.59287351]",16.42377268,120.59287351
"[16.42361337, 120.59299121]",16.42361337,120.59299121
"[16.42351407, 120.59306481]",16.42351407,120.59306481
"[16.42339834, 120.59317035]",16.42339834,120.59317035
"[16.42327277, 120.5932477]",16.42327277,120.5932477
"[16.42316521, 120.59331218]",16.42316521,120.59331218
"[16.42303864, 120.5932924]",16.42303864,120.5932924
"[16.42294483, 120.59328002]",16.42294483,120.59328002
"[16.42281912, 120.59325083]",16.42281912,120.59325083
"[16.42267743, 120.5932313]",16.42267743,120.5932313
"[16.42252593, 120.59321891]",16.42252593,120.59321891
"[16.42238123, 120.59320552]",16.42238123,120.59320552
"[16.42222722, 120.59318774]",16.42222722,120.59318774
"[16.42204917, 120.59319179]",16.42204917,120.59319179
"[16.42184739, 120.59319275]",16.42184739,120.59319275
"[16.42168746, 120.59320697]",16.42168746,120.59320697
"[16.42153045, 120.59321429]",16.42153045,120.59321429
"[16.42136529, 120.59321428]",16.42136529,120.59321428
"[16.42119629, 120.5932033]",16.42119629,120.5932033
"[16.4210324, 120.59318315]",16.4210324,120.59318315
"[16.42087342, 120.59314161]",16.42087342,120.59314161
"[16.42073592, 120.59310836]",16.42073592,120.59310836
"[16.4206244, 120.59307521]",16.4206244,120.59307521
"[16.4205084, 120.59304312]",16.4205084,120.59304312
"[16.42038367, 120.59301598]",16.42038367,120.59301598
"[16.42026326, 120.59301515]",16.42026326,120.59301515
"[16.42015008, 120.59306645]",16.42015008,120.59306645
"[16.42004269, 120.59319778]",16.42004269,120.59319778
"[16.41991177, 120.59334334]",16.41991177,120.59334334
"[16.41980589, 120.59348754]",16.41980589,120.59348754
"[16.41973364, 120.59364961]",16.41973364,120.59364961
"[16.41969207, 120.59386938]",16.41969207,120.59386938
"[16.4196738, 120.59408068]",16.4196738,120.59408068
"[16.41959455, 120.59427683]",16.41959455,120.59427683
"[16.41949067, 120.5944392]",16.41949067,120.5944392
"[16.41935806, 120.59459366]",16.41935806,120.59459366
"[16.41927386, 120.59472136]",16.41927386,120.59472136
"[16.41911299, 120.59481435]",16.41911299,120.59481435
"[16.41892206, 120.5948037]",16.41892206,120.5948037
"[16.41873716, 120.59476297]",16.41873716,120.59476297
"[16.41854644, 120.59473296]",16.41854644,120.59473296
"[16.41838031, 120.59472937]",16.41838031,120.59472937
"[16.41828053, 120.59473178]",16.41828053,120.59473178
"[16.4182056, 120.59478706]",16.4182056,120.59478706
"[16.4180888, 120.59486111]",16.4180888,120.59486111
"[16.41789672, 120.59495704]",16.41789672,120.59495704
"[16.4177878, 120.59501186]",16.4177878,120.59501186
"[16.41766268, 120.59512137]",16.41766268,120.59512137
"[16.41758369, 120.59520057]",16.41758369,120.59520057
"[16.41752991, 120.59528487]",16.41752991,120.59528487
"[16.41742673, 120.59537843]",16.41742673,120.59537843
"[16.41734568, 120.59546424]",16.41734568,120.59546424
"[16.41725577, 120.59557099]",16.41725577,120.59557099
"[16.41714005, 120.59570553]",16.41714005,120.59570553
"[16.41702791, 120.59585048]",16.41702791,120.59585048
"[16.41695723, 120.5959463]",16.41695723,120.5959463
"[16.41689615, 120.59602261]",16.41689615,120.59602261
"[16.41677644, 120.59609752]",16.41677644,120.59609752
"[16.41657394, 120.59604611]",16.41657394,120.59604611
"[16.41640108, 120.59601158]",16.41640108,120.59601158
"[16.41626601, 120.5959686]",16.41626601,120.5959686
"[16.41611512, 120.59595592]",16.41611512,120.59595592
"[16.41595769, 120.59595112]",16.41595769,120.59595112
"[16.41583894, 120.59591271]",16.41583894,120.59591271
"[16.41569412, 120.59585528]",16.41569412,120.59585528
"[16.41551449, 120.59581143]",16.41551449,120.59581143
"[16.41537845, 120.59577807]",16.41537845,120.59577807
"[16.41522322, 120.59575036]",16.41522322,120.59575036
"[16.41503192, 120.59570549]",16.41503192,120.59570549
"[16.41491693, 120.59567329]",16.41491693,120.59567329
"[16.41480759, 120.59562301]",16.41480759,120.59562301
"[16.41464605, 120.5955896]",16.41464605,120.5955896
"[16.41451651, 120.59556046]",16.41451651,120.59556046
"[16.41437078, 120.59550833]",16.41437078,120.59550833
"[16.41426557, 120.59547819]",16.41426557,120.59547819
"[16.41410726, 120.59542616]",16.41410726,120.59542616
"[16.41399683, 120.59536719]",16.41399683,120.59536719
"[16.41389661, 120.59528718]",16.41389661,120.59528718
"[16.41380077, 120.59519894]",16.41380077,120.59519894
"[16.41367398, 120.59508669]",16.41367398,120.59508669
"[16.41354261, 120.59496559]",16.41354261,120.59496559
"[16.41334194, 120.59491706]",16.41334194,120.59491706
"[16.4132232, 120.59495367]",16.4132232,120.59495367
"[16.41306816, 120.59511539]",16.41306816,120.59511539
"[16.41296068, 120.59522]",16.41296068,120.59522
"[16.4128794, 120.59533117]",16.4128794,120.59533117
"[16.41280055, 120.59540692]",16.41280055,120.59540692
"[16.41272314, 120.59546587]",16.41272314,120.59546587
"[16.41259754, 120.59556479]",16.41259754,120.59556479
"[16.41250671, 120.59564896]",16.41250671,120.59564896
"[16.41239966, 120.59576057]",16.41239966,120.59576057
"[16.41233714, 120.59584091]",16.41233714,120.59584091
"[16.41225302, 120.59595111]",16.41225302,120.59595111
"[16.41215906, 120.59605531]",16.41215906,120.59605531
"[16.41203179, 120.59619135]",16.41203179,120.59619135
"[16.41192766, 120.59630577]",16.41192766,120.59630577
"[16.41181493, 120.59642457]",16.41181493,120.59642457
"[16.41169955, 120.59653594]",16.41169955,120.59653594
"[16.41156441, 120.59666113]",16.41156441,120.59666113
"[16.411359, 120.59687203]",16.411359,120.59687203
"[16.4112406, 120.59697032]",16.4112406,120.59697032
"[16.41115571, 120.5970342]",16.41115571,120.5970342
"[16.41101736, 120.59720696]",16.41101736,120.59720696
"[16.41088699, 120.5972695]",16.41088699,120.5972695
"[16.4107041, 120.59726681]",16.4107041,120.59726681
"[16.41052071, 120.59725993]",16.41052071,120.59725993
"[16.41032808, 120.59724717]",16.41032808,120.59724717
"[16.41017489, 120.59721763]",16.41017489,120.59721763
"[16.41001491, 120.59719615]",16.41001491,120.59719615
"[16.40984896, 120.59717376]",16.40984896,120.59717376
"[16.40971987, 120.5971457]",16.40971987,120.5971457
"[16.40958472, 120.59714081]",16.40958472,120.59714081
"[16.40948963, 120.59713105]",16.40948963,120.59713105
"[16.4092977, 120.59720857]",16.4092977,120.59720857
"[16.40912977, 120.59729659]",16.40912977,120.59729659
"[16.40900438, 120.59735614]",16.40900438,120.59735614
"[16.40889985, 120.597403]",16.40889985,120.597403
"[16.40875299, 120.59748207]",16.40875299,120.59748207
"[16.40858944, 120.59755901]",16.40858944,120.59755901
"[16.40840202, 120.59768351]",16.40840202,120.59768351
"[16.40820438, 120.59779877]",16.40820438,120.59779877
"[16.40801574, 120.59789562]",16.40801574,120.59789562
"[16.40787386, 120.59798818]",16.40787386,120.59798818
"[16.40778198, 120.59802803]",16.40778198,120.59802803
"[16.40767262, 120.59809742]",16.40767262,120.59809742
"[16.40764792, 120.5982295]",16.40764792,120.5982295
"[16.40783157, 120.59827646]",16.40783157,120.59827646
"[16.40792243, 120.59827212]",16.40792243,120.59827212
"[16.4080136, 120.59824792]",16.4080136,120.59824792
"[16.40810693, 120.59819981]",16.40810693,120.59819981
"[16.40829347, 120.59817933]",16.40829347,120.59817933
"[16.40843348, 120.59814932]",16.40843348,120.59814932
"[16.4085551, 120.59815527]",16.4085551,120.59815527
"[16.40867796, 120.59820328]",16.40867796,120.59820328
